Engine type	liquid-cooled, 4-stroke, DOHC, 4-valves
Displacement	998cc
Bore x stroke	79.0 mm x 50.9 mm
Compression ratio	12 : 1
Maximum power	118.0 kW (160.4PS) @ 11,500 rpm
Maximum torque	111.0 Nm (11.3 kg-m) @ 9,000 rpm
Lubrication system	Wet sump
Clutch type	Wet, Multiple Disc
Fuel system	Fuel Injection
Ignition system	TCI
Starter system	Electric
Transmission system	Constant Mesh, 6-speed
Final transmission	Chain
Fuel consumption	N/A
CO2 emission	185 g/km
Chassis
Frame	Aluminium Deltabox
Front suspension system	Telescopic forks, Ø 43 mm
Front travel	120 mm
Caster angle	24º
Trail	102 mm
Rear suspension system	Swingarm, (link suspension)
Rear travel	120 mm
Front brake	Hydraulic dual disc, Ø 320 mm
Rear brake	Hydraulic single disc, Ø 220 mm
Front tyre	120/70 ZR17 M/C (58W)
Rear tyre	190/55 ZR17 M/C (75W)
Dimensions
Overall length	2,095 mm
Overall width	800 mm
Overall height	1,110 mm
Seat height	825 mm
Wheel base	1,400 mm
Minimum ground clearance	130 mm
Wet weight (including full oil and fuel tank)	210 kg
Fuel tank capacity	17 litres
Oil tank capacity	3.9 litres
